iter	Passed	Remaining
312	5507	9518
313	5523	9499
314	5539	9479
315	5557	9461
316	5573	9442
317	5591	9425
318	5608	9406
319	5624	9385
320	5640	9365
321	5656	9345
322	5672	9325
323	5688	9305
324	5704	9285
325	5721	9266
326	5740	9251
327	5759	9235
328	5774	9214
329	5790	9194
330	5806	9174
331	5823	9155
332	5839	9136
333	5855	9116
334	5874	9100
335	5892	9084
336	5911	9068
337	5927	9048
338	5946	9033
339	5965	9017
340	5983	9001
341	6000	8983
342	6016	8963
343	6035	8947
344	6051	8928
345	6070	8912
346	6086	8893
347	6103	8874
348	6119	8855
349	6138	8839
350	6158	8825
351	6176	8808
352	6194	8790
353	6210	8772
354	6228	8754
355	6246	8737
356	6262	8718
357	6282	8703
358	6300	8686
359	6317	8669
360	6336	8653
361	6354	8636
362	6370	8616
363	6392	8604
364	6413	8592
365	6433	8578
366	6456	8568
367	6479	8557
368	6501	8545
369	6524	8534
370	6546	8522
371	6568	8510
372	6591	8499
373	6614	8488
374	6636	8476
375	6658	8465
376	6680	8452
377	6699	8436
378	6716	8418
379	6733	8399
380	6751	8381
381	6767	8361
382	6784	8342
383	6802	8325
384	6821	8310
385	6847	8301
386	6866	8286
387	6885	8269
388	6902	8251
389	6920	8233
390	6937	8215
391	6957	8200
392	6975	8183
393	6994	8165
394	7013	8149
395	7034	8135
396	7055	8121
397	7073	8104
398	7090	8085
399	7107	8066
400	7124	8048
401	7140	8028
402	7158	8011
403	7178	7995
404	7195	7977
