iter	Passed	Remaining
153	3064	39982
154	3081	39922
155	3099	39881
156	3120	39866
157	3139	39839
158	3160	39831
159	3188	39913
160	3210	39927
161	3231	39916
162	3253	39924
163	3277	39954
164	3302	39992
165	3320	39941
166	3341	39940
167	3362	39932
168	3380	39891
169	3399	39855
170	3417	39808
171	3443	39859
172	3465	39859
173	3483	39820
174	3502	39790
175	3522	39765
176	3540	39728
177	3561	39715
178	3588	39774
179	3609	39763
180	3629	39742
181	3648	39715
182	3667	39683
183	3687	39658
184	3707	39635
185	3715	39489
186	3736	39486
187	3754	39444
188	3770	39383
189	3787	39335
190	3805	39293
191	3820	39224
192	3836	39164
193	3854	39119
194	3876	39119
195	3898	39126
196	3916	39089
197	3935	39058
198	3954	39029
199	3971	38977
200	3987	38920
201	4004	38877
202	4023	38847
203	4043	38825
204	4061	38794
205	4079	38751
206	4097	38717
207	4114	38676
208	4132	38636
209	4149	38594
210	4169	38572
211	4192	38586
212	4215	38592
213	4237	38595
214	4255	38554
215	4275	38539
216	4294	38511
217	4312	38474
218	4333	38468
219	4358	38494
220	4377	38467
221	4395	38433
222	4413	38397
223	4431	38360
224	4450	38330
225	4469	38304
226	4491	38305
227	4511	38288
228	4531	38267
229	4549	38237
230	4566	38191
231	4582	38144
232	4601	38113
233	4620	38087
234	4639	38064
235	4659	38041
236	4679	38026
237	4699	38013
238	4717	37976
239	4734	37936
240	4753	37910
241	4771	37878
242	4793	37876
243	4813	37855
244	4831	37827
245	4850	37797
246	4865	37745
247	4881	37690
248	4896	37637
249	4914	37609
250	4936	37602
251	4953	37564
252	4972	37537
253	4990	37507
254	5005	37456
255	5022	37412
256	5039	37377
257	5057	37346
258	5077	37322
259	5095	37292
260	5115	37275
261	5132	37237
262	5147	37185
263	5164	37148
264	5183	37126
265	5200	37090
266	5220	37071
267	5239	37046
268	5258	37021
269	5274	36980
270	5290	36936
271	5308	36903
272	5329	36898
273	5349	36882
274	5373	36894
275	5394	36880
276	5412	36850
277	5429	36812
278	5447	36784
279	5465	36756
280	5481	36710
281	5499	36681
282	5522	36687
283	5540	36659
284	5556	36616
285	5572	36575
286	5589	36539
287	5606	36500
288	5621	36453
289	5638	36417
290	5658	36400
291	5687	36443
292	5721	36515
293	5743	36513
294	5759	36469
295	5775	36428
296	5792	36395
297	5812	36376
298	5830	36345
299	5851	36337
300	5869	36307
301	5885	36265
302	5901	36226
303	5920	36201
304	5939	36181
305	5960	36169
306	5979	36151
307	5999	36131
308	6017	36107
309	6033	36066
310	6050	36030
311	6067	35996
312	6084	35960
313	6102	35932
314	6121	35913
315	6153	35967
316	6168	35923
317	6186	35892
318	6203	35857
319	6219	35819
320	6235	35778
321	6253	35754
322	6273	35740
323	6291	35711
324	6312	35697
325	6332	35683
326	6349	35651
327	6368	35629
328	6387	35605
329	6407	35587
330	6428	35579
331	6448	35561
332	6464	35524
333	6480	35488
334	6488	35404
335	6505	35373
336	6521	35337
337	6536	35292
338	6551	35251
339	6573	35243
340	6591	35217
341	6606	35178
342	6622	35138
343	6638	35101
344	6655	35072
345	6671	35036
346	6686	34994
347	6704	34964
348	6725	34959
349	6742	34928
350	6761	34904
351	6780	34885
352	6796	34849
353	6812	34812
354	6830	34788
355	6848	34762
356	6866	34738
357	6886	34722
358	6904	34693
359	6919	34657
360	6935	34621
361	6951	34583
362	6970	34564
363	6987	34534
364	7004	34505
365	7025	34492
366	7046	34482
367	7062	34449
368	7079	34418
369	7098	34398
370	7115	34370
371	7131	34335
372	7149	34311
373	7169	34294
374	7188	34273
375	7207	34253
376	7226	34232
377	7241	34194
378	7256	34158
379	7274	34131
380	7293	34112
381	7310	34085
382	7331	34071
383	7354	34073
384	7373	34050
385	7390	34022
386	7408	34000
387	7428	33985
388	7445	33952
389	7460	33916
390	7479	33898
391	7503	33898
392	7529	33910
393	7551	33903
394	7570	33883
395	7587	33854
396	7604	33829
397	7625	33814
398	7647	33811
399	7671	33813
400	7691	33795
401	7713	33788
402	7733	33775
403	7755	33768
404	7780	33771
